date,pick_type,rank,player,batter_id,team,game,pitcher,sportsbook,book_odds,model_prob,book_implied,edge,expected_roi,kelly_fraction,stake,result,pnl
2026-03-27,highest_ev_top10,1,Aaron Judge,592450,NYY,NYY @ SF,,,240,27.30,29.41,-2.10,,,100.00,HR,240.00
2026-03-27,highest_ev_top10,2,Giancarlo Stanton,519317,NYY,NYY @ SF,,,360,23.10,21.74,1.40,,,100.00,HR,360.00
2026-03-27,highest_ev_top10,3,Shohei Ohtani,660271,LAD,AZ @ LAD,,,170,16.00,37.04,-21.10,,,100.00,No HR,-100.00
2026-03-27,highest_ev_top10,4,Nick Kurtz,701762,ATH,ATH @ TOR,,,300,17.00,25.00,-8.00,,,100.00,No HR,-100.00
2026-03-27,highest_ev_top10,5,Yordan Alvarez,670541,HOU,LAA @ HOU,,,325,12.80,23.53,-10.70,,,100.00,HR,325.00
2026-03-27,highest_ev_top10,6,Ketel Marte,606466,AZ,AZ @ LAD,,,360,12.30,21.74,-9.40,,,100.00,HR,360.00
2026-03-27,highest_ev_top10,7,Vinnie Pasquantino,686469,KC,KC @ ATL,,,575,11.50,14.81,-3.40,,,100.00,No HR,-100.00
2026-03-27,highest_ev_top10,8,Vladimir Guerrero Jr.,665489,TOR,ATH @ TOR,,,375,8.60,21.05,-12.50,,,100.00,No HR,-100.00
2026-03-27,highest_ev_top10,9,Bobby Witt Jr.,677951,KC,KC @ ATL,,,475,6.50,17.39,-10.90,,,100.00,No HR,-100.00
2026-03-27,highest_ev_top10,10,Fernando Tatis Jr.,665487,SD,DET @ SD,,,525,5.80,16.00,-10.20,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,1,Aaron Judge,592450,NYY,NYY @ SF,Robbie Ray,,240,27.30,29.41,-2.10,,,100.00,HR,240.00
2026-03-27,highest_probability_top10,2,Giancarlo Stanton,519317,NYY,NYY @ SF,Robbie Ray,,360,23.10,21.74,1.40,,,100.00,HR,360.00
2026-03-27,highest_probability_top10,3,Spencer Torkelson,679529,DET,DET @ SD,Michael King,,475,20.10,17.39,2.70,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,4,Kerry Carpenter,681481,DET,DET @ SD,Michael King,,340,20.00,22.73,-2.80,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,5,Riley Greene,682985,DET,DET @ SD,Michael King,,475,19.70,17.39,2.30,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,6,Jo Adell,666176,LAA,LAA @ HOU,Mike Burrows,,375,18.60,21.05,-2.50,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,7,Nick Kurtz,701762,ATH,ATH @ TOR,Kevin Gausman,,300,17.00,25.00,-8.00,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,8,Cal Raleigh,663728,SEA,CLE @ SEA,Gavin Williams,,260,16.70,27.78,-11.10,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,9,Max Muncy,571970,LAD,AZ @ LAD,Ryne Nelson,,320,16.00,23.81,-7.80,,,100.00,No HR,-100.00
2026-03-27,highest_probability_top10,10,Shohei Ohtani,660271,LAD,AZ @ LAD,Ryne Nelson,,170,16.00,37.04,-21.10,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,1,Jared Young,676724,NYM,PIT @ NYM,Mitch Keller,BetMGM,1500,12.68,6.25,6.43,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,2,Carson Williams,700246,TB,TB @ STL,Michael McGreevy,BetMGM,1050,12.64,8.70,3.94,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,3,Justin Crawford,702222,PHI,TEX @ PHI,Jacob Latz,BetMGM,1350,9.28,6.90,2.38,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,4,Richie Palacios,680700,TB,TB @ STL,Michael McGreevy,BetMGM,1200,10.19,7.69,2.50,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,5,Eugenio Suárez,553993,CIN,BOS @ CIN,Sonny Gray,BetMGM,400,26.43,20.00,6.43,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,6,Miguel Amaya,665804,CHC,WSH @ CHC,Miles Mikolas,BetMGM,575,19.32,14.81,4.51,,,100.00,HR,575.00
2026-03-28,best_value_top10,7,Michael Busch,683737,CHC,WSH @ CHC,Miles Mikolas,BetMGM,260,30.00,27.78,2.22,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,8,Michael Busch,683737,CHC,WSH @ CHC,Miles Mikolas,BetMGM,260,30.00,27.78,2.22,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,9,Gavin Sheets,657757,SD,DET @ SD,Jack Flaherty,BetMGM,675,16.19,12.90,3.29,,,100.00,No HR,-100.00
2026-03-28,best_value_top10,10,Brett Baty,683146,NYM,PIT @ NYM,Mitch Keller,BetMGM,875,12.70,10.26,2.44,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,1,Munetaka Murakami,808959,CWS,CWS @ MIL,Chad Patrick,BetMGM,550,12.68,15.38,-2.70,,,100.00,HR,550.00
2026-03-28,highest_ev_top10,2,JJ Wetherholt,802139,STL,TB @ STL,Joe Boyle,BetMGM,800,12.68,11.11,1.57,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,3,Aaron Judge,592450,NYY,NYY @ SF,Tyler Mahle,BetMGM,240,11.07,29.41,-18.34,,,100.00,HR,240.00
2026-03-28,highest_ev_top10,4,Sal Stewart,701398,CIN,BOS @ CIN,Sonny Gray,BetMGM,525,17.05,16.00,1.05,,,100.00,HR,525.00
2026-03-28,highest_ev_top10,5,Juan Soto,665742,NYM,PIT @ NYM,Mitch Keller,BetMGM,400,17.99,20.00,-2.01,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,6,Kyle Schwarber,656941,PHI,TEX @ PHI,Jacob deGrom,BetMGM,320,18.80,23.81,-5.01,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,7,Shohei Ohtani,660271,LAD,AZ @ LAD,Eduardo Rodriguez,betPARX,190,19.26,34.48,-15.22,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,8,Francisco Alvarez,682626,NYM,PIT @ NYM,Mitch Keller,BetMGM,700,13.11,12.50,0.61,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,9,Oneil Cruz,665833,PIT,PIT @ NYM,David Peterson,BetMGM,650,3.94,13.33,-9.39,,,100.00,No HR,-100.00
2026-03-28,highest_ev_top10,10,Pete Alonso,624413,BAL,MIN @ BAL,Taj Bradley,BetMGM,400,16.47,20.00,-3.53,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,1,Michael Busch,683737,CHC,WSH @ CHC,Miles Mikolas,BetMGM,260,30.00,27.78,2.22,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,2,Eugenio Suárez,553993,CIN,BOS @ CIN,Sonny Gray,BetMGM,400,26.43,20.00,6.43,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,3,Shohei Ohtani,660271,LAD,AZ @ LAD,Eduardo Rodriguez,BetMGM,165,25.68,37.74,-12.06,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,4,Kyle Schwarber,656941,PHI,TEX @ PHI,Jacob Latz,BetMGM,320,23.58,23.81,-0.23,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,5,Juan Soto,665742,NYM,PIT @ NYM,Mitch Keller,BetMGM,400,21.55,20.00,1.55,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,6,George Springer,543807,TOR,ATH @ TOR,Jeffrey Springs,BetMGM,325,21.21,23.53,-2.32,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,7,Miguel Amaya,665804,CHC,WSH @ CHC,Miles Mikolas,BetMGM,575,19.32,14.81,4.51,,,100.00,HR,575.00
2026-03-28,highest_probability_top10,8,Cal Raleigh,663728,SEA,CLE @ SEA,Joey Cantillo,BetMGM,270,18.94,27.03,-8.09,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,9,Pete Crow-Armstrong,691718,CHC,WSH @ CHC,Miles Mikolas,BetMGM,360,18.60,21.74,-3.14,,,100.00,No HR,-100.00
2026-03-28,highest_probability_top10,10,Corey Seager,608369,TEX,TEX @ PHI,Aaron Nola,BetMGM,400,18.21,20.00,-1.79,,,100.00,HR,400.00
2026-03-29,best_value_top10,1,Jared Young,676724,NYM,PIT @ NYM,Carmen Mlodzinski,BetMGM,1300,9.44,7.14,2.30,,,100.00,,
2026-03-29,best_value_top10,2,Richie Palacios,680700,TB,TB @ STL,Dustin May,BetMGM,1150,10.54,8.00,2.54,,,100.00,,
2026-03-29,best_value_top10,3,Blake Perkins,663368,MIL,CWS @ MIL,Anthony Kay,BetMGM,1150,10.49,8.00,2.49,,,100.00,,
2026-03-29,best_value_top10,4,Brenton Doyle,686668,COL,COL @ MIA,Max Meyer,BetMGM,850,12.95,10.53,2.42,,,100.00,,
2026-03-29,best_value_top10,5,Hunter Goodman,696100,COL,COL @ MIA,Max Meyer,BetMGM,450,22.00,18.18,3.82,,,100.00,,
2026-03-29,best_value_top10,6,Heriberto Hernández,681715,MIA,COL @ MIA,Jose Quintana,BetMGM,575,17.77,14.81,2.96,,,100.00,,
2026-03-29,highest_probability_top10,1,Hunter Goodman,696100,COL,COL @ MIA,Max Meyer,BetMGM,450,22.00,18.18,3.82,,,100.00,,
2026-03-29,highest_probability_top10,2,Daulton Varsho,662139,TOR,ATH @ TOR,Luis Morales,BetMGM,400,22.00,20.00,2.00,,,100.00,,
